scenario,model,early_entropy,logprob_variance,mean_logprob,verbalized_final,confidence_gradient,n_steps,n_tool_calls,mcp_error_ratio,mcp_error_count,loop_ratio,n_unique_actions,reached_finish,obs_mean_len,obs_max_len,n_observations,usable_token,usable_verbalized,usable_structural,usable_mcp_error,usable_observation,y,verbalized_posthoc
engine_health_combined_021,openai_openai_gpt-oss-120b,0.2643491485897797,0.12683384357685135,-0.25014630543920324,,,8.0,6.0,,,0.3333333333333333,4.0,0.0,331.0,528.0,8.0,True,False,True,False,True,1,
engine_health_combined_022,openai_openai_gpt-oss-120b,0.15215756357148205,0.10683242715396643,-0.17910110091195036,,,8.0,6.0,,,0.16666666666666666,2.0,0.0,221.625,471.0,8.0,True,False,True,False,True,0,0.0
engine_health_combined_023,openai_openai_gpt-oss-120b,0.23325548178637315,0.12338690114049404,-0.2361923016146826,,,8.0,6.0,,,0.3333333333333333,4.0,0.0,394.375,601.0,8.0,True,False,True,False,True,1,
engine_health_combined_024,openai_openai_gpt-oss-120b,0.2513419620719281,0.11565429370371881,-0.21601567355899753,,,4.0,1.0,,,0.5,2.0,1.0,471.0,471.0,3.0,True,False,True,False,True,1,
engine_health_combined_025,openai_openai_gpt-oss-120b,0.2096679899910505,0.08910690956361618,-0.17947898516520158,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,1,
engine_health_combined_026,openai_openai_gpt-oss-120b,0.22543025688045548,0.11791792862310178,-0.21527711340816635,,,8.0,4.0,,,1.0,4.0,0.0,471.0,471.0,8.0,True,False,True,False,True,1,
engine_health_combined_027,openai_openai_gpt-oss-120b,0.22679076995403374,0.13376695767290098,-0.2572221629787711,,,8.0,2.0,,,1.0,2.0,0.0,471.0,471.0,8.0,True,False,True,False,True,0,
engine_health_combined_028,openai_openai_gpt-oss-120b,0.2632380470458613,0.10371767583394596,-0.20435719781951678,,,4.0,3.0,,,0.75,4.0,1.0,471.0,471.0,3.0,True,False,True,False,True,1,
engine_health_combined_029,openai_openai_gpt-oss-120b,0.14877531547620357,0.06580828716752714,-0.14877531547620357,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,1,
engine_health_combined_030,openai_openai_gpt-oss-120b,0.14993893431610986,0.07973276512003472,-0.14993893431610986,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,0,
pdm_cost_benefit_001,openai_openai_gpt-oss-120b,0.2484320187043556,0.11708179879903759,-0.2505562863789476,,,8.0,0.0,,,,0.0,0.0,471.0,471.0,8.0,True,False,True,False,True,0,
pdm_cost_benefit_002,openai_openai_gpt-oss-120b,0.18954519080492208,0.12829302280287244,-0.25480274315479357,,,8.0,5.0,,,0.0,3.0,0.0,292.5,513.0,8.0,True,False,True,False,True,0,
pdm_cost_benefit_003,openai_openai_gpt-oss-120b,0.17357709106238647,0.09258766900602283,-0.17357709106238647,,,2.0,1.0,,,0.5,2.0,1.0,471.0,471.0,1.0,True,False,True,False,True,0,
pdm_cost_benefit_004,openai_openai_gpt-oss-120b,0.15630284553356444,0.08982915200760234,-0.18445090059950053,,,3.0,2.0,,,0.6666666666666666,3.0,1.0,471.0,471.0,2.0,True,False,True,False,True,0,
pdm_cost_benefit_005,openai_openai_gpt-oss-120b,0.3062531037647148,0.12800255358739723,-0.2641950405891477,,,8.0,2.0,,,1.0,2.0,0.0,471.0,471.0,8.0,True,False,True,False,True,1,
pdm_fault_001,openai_openai_gpt-oss-120b,0.22680728617501114,0.09909699701006365,-0.1817079579782154,,,8.0,8.0,,,0.5,6.0,0.0,298.5,471.0,8.0,True,False,True,False,True,1,
pdm_fault_002,openai_openai_gpt-oss-120b,0.2563692777730067,0.11062112464391573,-0.20721152010312877,,,8.0,7.0,,,0.5714285714285714,7.0,0.0,394.125,629.0,8.0,True,False,True,False,True,0,
pdm_fault_003,openai_openai_gpt-oss-120b,0.20421076495092075,0.09586126332195004,-0.17213328802628813,,,8.0,7.0,,,0.0,2.0,0.0,412.375,796.0,8.0,True,False,True,False,True,1,
pdm_fault_004,openai_openai_gpt-oss-120b,0.1620228604251341,0.09942312761812944,-0.19096955430725482,,,8.0,8.0,,,0.25,4.0,0.0,230.75,471.0,8.0,True,False,True,False,True,1,
pdm_fault_005,openai_openai_gpt-oss-120b,0.11494402916212638,0.08820611756543383,-0.17200441151815452,,,8.0,8.0,,,0.875,8.0,0.0,421.25,471.0,8.0,True,False,True,False,True,1,
